lang,url,sentiment,date,relevance,title,location,isDuplicate,sim
eng,https://sloanreview.mit.edu/article/a-practical-guide-to-gaining-value-from-llms/,0.3098039215686275,2024-11-04,100,A Practical Guide to Gaining Value From LLMs | MIT Sloan Management Review,,False,0.658823549747467
eng,https://unit42.paloaltonetworks.com/privilege-escalation-llm-model-exfil-vertex-ai/,-0.0117647058823529,2024-11-12,85,ModeLeak: Privilege Escalation to LLM Model Exfiltration in Vertex AI,,False,0.0
eng,https://www.expresscomputer.in/artificial-intelligence-ai/from-mlops-to-llmops-evolution-of-the-llm-ecosystem/118606/,0.1137254901960785,2024-11-11,76,From MLOps to LLMOps - Evolution of the LLM Ecosystem - Express Computer,,False,0.0
eng,https://www.globaltrademag.com/how-autonomous-mobile-robots-amrs-are-revolutionizing-warehouse-operations-and-logistics/,0.2705882352941176,2024-11-14,67,How Autonomous Mobile Robots (AMRs) are Revolutionizing Warehouse Operations and Logistics,,False,0.0
eng,https://aws.amazon.com/blogs/security/securing-generative-ai-an-introduction-to-the-generative-ai-security-scoping-matrix/,0.5764705882352941,2024-10-29,63,Securing generative AI: An introduction to the Generative AI Security Scoping Matrix | Amazon Web Services,,False,0.0
eng,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2825395,0.0980392156862746,2024-10-28,59,Large Language Model Influence on Diagnostic Reasoning,,False,0.5882353186607361
eng,https://www.theregister.com/2024/10/06/meta_llama_vision_brain/,0.05882352941176472,2024-11-16,56,"Meta gives Llama 3 vision, now if only it had a brain",,False,0.0
eng,https://stratechery.com/2024/an-interview-with-salesforce-ceo-marc-benioff-about-ai-abundance/,0.2156862745098038,2024-10-26,55,An Interview with Salesforce CEO Marc Benioff about AI Abundance,,False,0.0
eng,https://unit42.paloaltonetworks.com/jailbreak-llms-through-camouflage-distraction/,0.3725490196078431,2024-10-23,55,Deceptive Delight: Jailbreak LLMs Through Camouflage and Distraction,,False,0.7450980544090271
eng,https://www.nature.com/articles/s41524-024-01423-2,0.1450980392156862,2024-11-05,53,Opportunities for retrieval and tool augmented large language models in scientific facilities - npj Computational Materials,,False,0.6039215922355652
